business_name,email,phone,website,address,city,rating,reviews,category
"Vada Property Management","info@vadapm.com","012345678910","https://vadapm.com/","4190 Lougheed Hwy #425Closed","2250 Nanaimo Street",4.6,,""
"Greater Vancouver Tenant & Property Management Ltd.","clients@gvantpm.com","(604) 398-4047","https://www.gvantpm.com/","2025 Willingdon Ave #900Closed","2250 Nanaimo Street",4.5,,""
"J.M. Property Management Ltd.","","","","1010 Howe StClosed","2250 Nanaimo Street",4.8,,""
"Vancouver Property Management, VPM Group RE/MAX","info@vpmgroup.ca","1 778-300-7910","http://vpmgroup.ca/homepage","2609 Westview Dr #403Closed","2250 Nanaimo Street",4.9,,""
"Birds Nest Properties","info@birdsnestproperties.ca","(604) 260-9955","https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb","2208A Spruce StClosed","2250 Nanaimo Street",4.7,,""
"Dexter Property Management","info@dexterpm.ca","(604) 263-1144","http://dexterpm.ca/","2608 Granville St #560Closed","2250 Nanaimo Street",4.8,,""
"Reside Management","admin@residemanage.com","+1 (877) 323-0850","http://residemanage.com/","450 SW Marine Dr 18th FloorClosed","2250 Nanaimo Street",4.3,,""
"DPM Property Management","ads@dpmonline.ca","+1 604-982-7051","http://www.dpmonline.ca/","1460 Main St #257Closed","2250 Nanaimo Street",4,,""
"Martello Property Services Inc","","604.681.6544","http://www.martello.group/","808 W Hastings St Suite 920Closed","2250 Nanaimo Street",2.7,,""
"Vancouver Luxury Rentals","","604.899.0220","https://www.vancouverluxuryrentals.com/","2590 Granville St #204Closed","2250 Nanaimo Street",4,,""
"Hudson Projects Corp.","hello@hudsonprojects.ca","604.909.3847","https://www.hudsonprojects.ca/","3499 Commercial StClosed","2250 Nanaimo Street",4.6,,""
"Pacifica First Management Ltd","","604-876-6400","http://www.pacificafirst.ca/","2006 Main StClosed","2250 Nanaimo Street",2,,""
"Belmont Properties","","","https://www.belmontproperties.ca/","1111 W Georgia St #1810Closed","2250 Nanaimo Street",3.4,,""
