business_name,email,phone,website,address,city,rating,reviews,category
"Casado Property Management","","","https://www.casadopropertymanagement.ca/","4370 Dominion St Ste 400Closed","6700 Dunblane st",4.9,,""
"Vada Property Management","info@vadapm.com","012345678910","https://vadapm.com/","4190 Lougheed Hwy #425Closed","6700 Dunblane st",4.6,,""
"VMH Properties","info@vmhproperties.com","1785334693053","http://www.vmhproperties.com/","2025 Willingdon Ave #900Open","6700 Dunblane st",4.8,,""
"Heer Properties Group","info@heerpro.com","1785226971572","http://www.heerpro.com/","6699 Dunblane AveClosed","6700 Dunblane st",4.9,,""
"REMI Realty Inc.","INFO@remirealty.ca","8257895069","https://remirealty.ca/?utm_source=googlemybusiness&utm_medium=Organic&utm_campaign=GoogleMyBusiness-Burnaby","8678 Greenall Ave #206Closed","6700 Dunblane st",3.9,,""
"Orca Realty Inc. Burnaby","info@orcarealty.ca","2017195128809443","https://orcarealty.ca/burnaby-property-management/","3997 Henning Dr Unit 201Closed","6700 Dunblane st",4.5,,""
"Polaris","","","","6699 Dunblane AveOpen 24 hoursDirections  ""The building is much quieter compared to Sun Tower I used to live in .""","6700 Dunblane st",3.8,,""
"Birds Nest Properties","info@birdsnestproperties.ca","(604) 260-9955","https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb","2208A Spruce StClosed","6700 Dunblane st",4.7,,""
"RE/MAX Heights Realty","info@remaxheights.ca","(604) 801-5577","https://www.remaxheights.ca/","4370 Dominion St Ste 400Closed","6700 Dunblane st",4.4,,""
"TPM Real Estate Management LTD","tpminfo@tpmmanagement.ca","1767040751318","http://tpmmanagement.ca/","2750 Rupert StClosed","6700 Dunblane st",3.1,,""
"Axford Real Estate","admin@axfordrealestate.ca","778.355.0116","https://www.axfordrealestate.ca/","2326 Clarke StClosed","6700 Dunblane st",4.6,,""
"MacPherson Real Estate Ltd.","rob@cbmre.ca","137022193058729","http://www.cbmre.ca/","1140 Austin Ave #200Closed","6700 Dunblane st",3.2,,""
"liv.rent","","","https://liv.rent/","1601 Bayshore Dr. Ste 1AClosed","6700 Dunblane st",4.5,,""
"My Dream Realty","info@mydreamrealtyvancouver.com","778-317-0752","https://www.mydreamrealtyvancouver.com/","1030 W Georgia St #1112Closed","6700 Dunblane st",4.5,,""
"Vancouver Luxury Rentals","","604.899.0220","https://www.vancouverluxuryrentals.com/","2590 Granville St #204Closed","6700 Dunblane st",4,,""
"RentalPropertyManagers","","778-862-8321","http://www.rentalpropertymanagers.ca/","3631 Number 3 Rd #290Closed","6700 Dunblane st",5,,""
