business_name,email,phone,website,address,city,rating,reviews,category
"Dexter Property Management","info@dexterpm.ca","(604) 263-1144","http://dexterpm.ca/","2608 Granville St #560Closed","7132 Kerr St",4.8,,""
"Greater Vancouver Tenant & Property Management Ltd.","clients@gvantpm.com","(604) 398-4047","https://www.gvantpm.com/","2025 Willingdon Ave #900Closed","7132 Kerr St",4.5,,""
"J.M. Property Management Ltd.","","","","1010 Howe StClosed","7132 Kerr St",4.8,,""
"Pacific West","alex@pacificwestpm.ca","(778) 867-0482","http://www.pacificwestpm.ca/","421 Pacific StClosed","7132 Kerr St",4.8,,""
"Birds Nest Properties","info@birdsnestproperties.ca","(604) 260-9955","https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb","2208A Spruce StClosed","7132 Kerr St",4.7,,""
"Vada Property Management","info@vadapm.com","012345678910","https://vadapm.com/","4190 Lougheed Hwy #425Closed","7132 Kerr St",4.6,,""
"Vancouver Property Management, VPM Group RE/MAX","info@vpmgroup.ca","1 778-300-7910","http://vpmgroup.ca/homepage","2609 Westview Dr #403Closed","7132 Kerr St",4.9,,""
"Champlain Square","","","http://champlainsquare.com/","7132 Kerr StOpens soon","7132 Kerr St",4.2,,""
"Reside Management","admin@residemanage.com","+1 (877) 323-0850","http://residemanage.com/","450 SW Marine Dr 18th FloorClosed","7132 Kerr St",4.3,,""
"Vancouver Rental Group","sevaroberts@gmail.com","604.537.4399","https://www.vancouverrentalgroup.ca/?utm_source=google&utm_medium=gbp","1428 W 7th AveClosed","7132 Kerr St",4.5,,""
"Bodewell","info@bodewell.ca","(604) 633-5511","http://bodewell.ca/","","7132 Kerr St",4.6,,""
"Bolld Real Estate Management","info@bolld.ca","8552668588","https://bolldpm.com/","2123 Granville St BClosed","7132 Kerr St",4.1,,""
"Korecki Real Estate Services Inc.","info@korecki.ca","(604) 233-7772","http://www.korecki.ca/","1166 Alberni St #605Closed","7132 Kerr St",4.3,,""
"Austeville Properties Ltd.","","604.216.5500","http://www.austeville.com/","1645 W 7th AveClosed","7132 Kerr St",4.3,,""
"C&C Property Group","admin@cccm.bc.ca","(604) 987-9040","http://cccm.bc.ca/","171 Esplanade W #530Closed","7132 Kerr St",4.8,,""
"Martello Property Services Inc","","604.681.6544","http://www.martello.group/","808 W Hastings St Suite 920Closed","7132 Kerr St",2.7,,""
"My Dream Realty","info@mydreamrealtyvancouver.com","778-317-0752","https://www.mydreamrealtyvancouver.com/","1030 W Georgia St #1112Closed","7132 Kerr St",4.5,,""
"AA Property Management Ltd","%20info@aaproperty.ca","(604) 207-2002","http://aaproperty.ca/","1200 W 73rd Ave Unit 1410Closed","7132 Kerr St",2.4,,""
"Westwood Ridge Development Corporation","info@westwoodridge.ca","9237659520","https://www.westwoodridge.ca/","1333 W Broadway #900Closed","7132 Kerr St",4.2,,""
"Champlain Notary Public","info@champlainnotary.com","1785332577330","http://www.champlainnotary.com/","7126 Kerr StClosed","7132 Kerr St",4.9,,""
"Rancho Management Services (B.C.) Ltd.","pmgr@ranchogroup.com","(604) 684-4508","http://www.ranchovan.com/","1125 Howe St 8th FloorClosed","7132 Kerr St",3.6,,""
"Vancouver Rent It","services@vancouverrentit.com","(604) 388-7368","http://www.vancouverrentit.com/","","7132 Kerr St",4.5,,""
"7132 Kerr St","","","","7132 Kerr St7132 Kerr St  No reviewsVancouver, BC V5S 2A6Canadaof 7132 Kerr St, Vancouver, BC","7132 Kerr St",,,""
"7132 Kerr St of","","","","7132 Kerr St of7132 Kerr St of  No reviewsVancouver, BC V5S 2A6Canadaof 7132 Kerr St, Vancouver, BC","7132 Kerr St",,,""
"Corbel Commercial Real Estate Services Inc.","info@corbelcommercial.com","(49.2790557","http://www.corbelcommercial.com/","632 Citadel ParadeClosed","7132 Kerr St",4.8,,""
"Cushman & Wakefield - Commercial Real Estate Services","","+1 604 683 3111","https://www.cushmanwakefield.com/en/canada/offices/vancouver?utm_source=google&utm_medium=organic&utm_campaign=gmb_uberall_CAN002","700 W Georgia StClosed","7132 Kerr St",2.5,,""
"William Wright Commercial","sales@williamwright.ca","3
604-428-5255","https://www.williamwright.ca/","605 Robson St #1340Closed","7132 Kerr St",4.9,,""
"Paradigm Group Commercial Real Estate Services","Jordan@ParadigmVancouver.com","604.398.8836","http://www.paradigmvancouver.com/","2590 Granville St #203Closed","7132 Kerr St",5,,""
"Macdonald Commercial","info@macdonaldcommercial.com","604-736-5611","https://www.macdonaldcommercial.com/","1827 W 5th AveClosed","7132 Kerr St",3.3,,""
"NAI Commercial Vancouver","","1419240516480","https://www.naibc.ca/","1075 W Georgia St #1300Closed","7132 Kerr St",3.2,,""
"Lee & Associates Vancouver","","604.684.7117","https://leevancouver.com/","475 W Georgia St Suite 800Closed","7132 Kerr St",2.8,,""
"Avison Young","webleads-bcc@avisonyoung.com","3504-6181-408","https://www.avisonyoung.ca/web/vancouver?utm_source=google&utm_medium=gmb","","7132 Kerr St",3,,""
"Team Kerr | Stilhavn Real Estate Services","info@teamkerr.ca","604-880-4588","https://www.teamkerr.ca/","36 E 5th AveClosed","7132 Kerr St",4.9,,""
"First Stay Realty Inc.","info@fsbc.ca","778 317 6393","http://www.firststaybc.com/","1118 Homer St #204Closed","7132 Kerr St",4.9,,""
