business_name,email,phone,website,address,city,rating,reviews,category
"Vada Property Management","info@vadapm.com","012345678910","https://vadapm.com/","4190 Lougheed Hwy #425Closed","Nanaimo St & E 1st Ave",4.6,,""
"FirstService Residential Vancouver","","(855) 683-8900","https://www.fsresidential.com/british-columbia/offices/vancouver-bc","200 Granville St #700Closed","Nanaimo St & E 1st Ave",4.1,,""
"Birds Nest Properties","info@birdsnestproperties.ca","(604) 260-9955","https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb","2208A Spruce StClosed","Nanaimo St & E 1st Ave",4.7,,""
"Dexter Property Management","info@dexterpm.ca","(604) 263-1144","http://dexterpm.ca/","2608 Granville St #560Closed","Nanaimo St & E 1st Ave",4.8,,""
"First Stay Realty Inc.","info@fsbc.ca","778 317 6393","http://www.firststaybc.com/","1118 Homer St #204Closed","Nanaimo St & E 1st Ave",4.9,,""
"Vancouver Property Management, VPM Group RE/MAX","info@vpmgroup.ca","1 778-300-7910","http://vpmgroup.ca/homepage","2609 Westview Dr #403Closed","Nanaimo St & E 1st Ave",4.9,,""
"Reside Management","admin@residemanage.com","+1 (877) 323-0850","http://residemanage.com/","450 SW Marine Dr 18th FloorClosed","Nanaimo St & E 1st Ave",4.3,,""
"Belmont Properties","","","https://www.belmontproperties.ca/","1111 W Georgia St #1810Closed","Nanaimo St & E 1st Ave",3.4,,""
"Assertive Northwest","","1998-2023","https://assertivenorthwest.com/","3847A Hastings StClosed","Nanaimo St & E 1st Ave",2.8,,""
"SoMa Apartments Ltd.","melanie.kovacs@telus.com","266053513407178","http://terracrestpm.com/","30 E 10th AveClosed","Nanaimo St & E 1st Ave",5,,""
"Bayside Property Services Ltd.","","","http://www.baysideproperty.com/","6400 Roberts St #100Closed","Nanaimo St & E 1st Ave",2.5,,""
"Farid Entezari Personal Real Estate Corporation RE/MAX Crest","info@vpmgroup.ca","1136974604233337","http://www.vpmgroup.ca/","2609 Westview Dr #403Closed","Nanaimo St & E 1st Ave",5,,""
"Dexter Properties Inc.,","team@liebermanhomes.com","604-351-9699","http://liebermanhomes.com/","2094 W 43rd Ave+1 604-263-1144WebsiteDirections","Nanaimo St & E 1st Ave",5,,""
"Macdonald Commercial","info@macdonaldcommercial.com","604-736-5611","https://www.macdonaldcommercial.com/","1827 W 5th AveClosed","Nanaimo St & E 1st Ave",3.3,,""
"Professional Association of Managing Agents","","","http://www.pama.ca/","2025 W 42nd Ave+1 604-267-0476WebsiteDirections","Nanaimo St & E 1st Ave",4,,""
