business_name,email,phone,website,address,city,rating,category,proximity_notes,comments
Polaris,,,,"6699 Dunblane AveOpen 24 hoursDirections  ""Beautiful buildings and nice views""",Burnaby,3.8,,SAME STREET,Phone: 
Heer Properties Group,info@heerpro.com,1785103270700,http://www.heerpro.com/,6699 Dunblane AveOpen,Burnaby,4.9,,SAME STREET,Phone: ✓
Axford Real Estate,admin@axfordrealestate.ca,778.355.0116,https://www.axfordrealestate.ca/,2326 Clarke StreetCloses soon,Burnaby,4.6,,NEARBY,Phone: ✓
Rolan Property Management - Burnaby (1NE Collective Realty),,46-777822357,https://linktr.ee/rolanproperty,6080 McKay AveOpen,Burnaby,5.0,,NEARBY,Phone: ✓
Bayside Property Services Ltd.,mail@baysideproperty.com,604.432.7774,http://www.baysideproperty.com/,6400 Roberts St #100Closed,Burnaby,2.5,,NEARBY,Phone: ✓
Uooi Property Management,,,http://www.uooi.com/,4388 Beresford St. #403AClosed,Burnaby,3.9,,NEARBY,Phone: 
Greater Vancouver Tenant & Property Management Ltd.,clients@gvantpm.com,(604) 398-4047,https://www.gvantpm.com/,2025 Willingdon Ave #900Closed,Burnaby,4.5,,NEARBY,Phone: ✓
Arbour Place Apartments,privacy@quadreal.com,(604) 670-2745,https://quadrealresidential.com/burnaby/arbour-place/?utm_campaign=OrganicSearch,4769 Hazel StClosed,Burnaby,4.7,,NEARBY,Phone: ✓
Ascent Real Estate Management,ascent@ascentpm.com,1785161647784,http://www.ascentpm.com/,2176 Willingdon AveClosed,Burnaby,3.8,,NEARBY,Phone: ✓
Hazel Apartments,privacy@quadreal.com,(604) 200-3588,https://quadrealresidential.com/burnaby/hazel/?utm_campaign=OrganicSearch,4733 Hazel StClosed,Burnaby,4.8,,NEARBY,Phone: ✓
RPM Re/max Crest Masters,,778-862-8321,http://www.rentalpropertymanagers.ca/,5050 Kingsway #1Open 24 hours,Burnaby,5.0,,NEARBY,Phone: ✓
Keith Ramzan - Burnaby & Vancouver Real Estate Services,info@keithramzan.com,2502 13655,http://www.keithramzan.com/,4200 Portland StOpen,Burnaby,5.0,,NEARBY,Phone: ✓
"Robert Almeida - Top Burnaby Realtor® Vancouver, New Westminster",robert@homesforbc.ca,604-862-8000,http://www.homesforbc.ca/,5050 Kingsway #1Open 24 hours,Burnaby,4.9,,NEARBY,Phone: ✓
RE/MAX Crest Realty - Burnaby,,1667202906580,http://www.remaxcrest.ca/,5050 Kingsway #1Closed,Burnaby,3.7,,NEARBY,Phone: ✓
Strataco Management Ltd,managers@stratacomgmt.com,(604) 294-4141,http://strataco.ca/,4126 Norland Ave #101Closed,Burnaby,1.7,,NEARBY,Phone: ✓
Orca Realty Inc. Burnaby,info@orcarealty.ca,,https://orcarealty.ca/burnaby-property-management/,3997 Henning Dr Unit 201Closed,Burnaby,4.5,,NEARBY,Phone: 
McCarthy Properties,,"7
604-437-6334",https://mccarthyproperties.ca/,4980 Kingsway #700Closed,Burnaby,4.7,,NEARBY,Phone: ✓
Spencer Kumo Personal Real Estate Corporation RE/MAX Award Winning Burnaby Realtor,,,http://www.spencerkumo.com/,5050 KingswayOpen 24 hours,Burnaby,5.0,,NEARBY,Phone: 
Team Vince Chan Real Estate - Burnaby Realtor,info@teamvincechan.com,604-813-8618,http://teamvincechan.com/,5050 Kingsway #1Open,Burnaby,5.0,,NEARBY,Phone: ✓
Macdonald Realty Burnaby,macrealty@macrealty.com,0 1024 1024,https://www.macrealty.com/,5501 Kingsway #201Closed,Burnaby,4.3,,NEARBY,Phone: ✓
