Leads: 52
business_name,email,phone,website,address,proximity_notes
"Casado Property Management","","","https://www.casadopropertymanagement.ca/","4370 Dominion St Ste 400Closed",""
"Vada Property Management","info@vadapm.com","012345678910","https://vadapm.com/","4190 Lougheed Hwy #425Closed",""
"VMH Properties","info@vmhproperties.com","1785334693053","http://www.vmhproperties.com/","2025 Willingdon Ave #900Open",""
"Heer Properties Group","info@heerpro.com","1785226971572","http://www.heerpro.com/","6699 Dunblane AveClosed","Heer Properties - likely PM company - heerpro.com"
"REMI Realty Inc.","INFO@remirealty.ca","8257895069","https://remirealty.ca/?utm_source=googlemybusiness&utm_medium=Organic&utm_campaign=GoogleMyBusiness-Burnaby","8678 Greenall Ave #206Closed",""
"Orca Realty Inc. Burnaby","info@orcarealty.ca","2017195128809443","https://orcarealty.ca/burnaby-property-management/","3997 Henning Dr Unit 201Closed",""
"Polaris","","","","6699 Dunblane AveOpen 24 hoursDirections  ""The building is much quieter compared to Sun Tower I used to live in .""","Near target building"
"Birds Nest Properties","info@birdsnestproperties.ca","(604) 260-9955","https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb","2208A Spruce StClosed",""
"RE/MAX Heights Realty","info@remaxheights.ca","(604) 801-5577","https://www.remaxheights.ca/","4370 Dominion St Ste 400Closed",""
"TPM Real Estate Management LTD","tpminfo@tpmmanagement.ca","1767040751318","http://tpmmanagement.ca/","2750 Rupert StClosed",""
"Axford Real Estate","admin@axfordrealestate.ca","778.355.0116","https://www.axfordrealestate.ca/","2326 Clarke StClosed",""
"MacPherson Real Estate Ltd.","rob@cbmre.ca","137022193058729","http://www.cbmre.ca/","1140 Austin Ave #200Closed",""
"liv.rent","","","https://liv.rent/","1601 Bayshore Dr. Ste 1AClosed",""
"My Dream Realty","info@mydreamrealtyvancouver.com","778-317-0752","https://www.mydreamrealtyvancouver.com/","1030 W Georgia St #1112Closed",""
"Vancouver Luxury Rentals","","604.899.0220","https://www.vancouverluxuryrentals.com/","2590 Granville St #204Closed",""
"RentalPropertyManagers","","778-862-8321","http://www.rentalpropertymanagers.ca/","3631 Number 3 Rd #290Closed",""
"Rolan Property Management - Burnaby (1NE Collective Realty)","","46-777822357","https://linktr.ee/rolanproperty","6080 McKay AveClosed",""
"RPM Re/max Crest Masters","","778-862-8321","http://www.rentalpropertymanagers.ca/","5050 Kingsway #1Open 24 hours",""
"Uooi Property Management","","","http://www.uooi.com/","4388 Beresford St. #403AClosed",""
"Arbour Place Apartments","privacy@quadreal.com","(604) 670-2745","https://quadrealresidential.com/burnaby/arbour-place/?utm_campaign=OrganicSearch","4769 Hazel StClosed",""
"Hazel Apartments","privacy@quadreal.com","(604) 200-3588","https://quadrealresidential.com/burnaby/hazel/?utm_campaign=OrganicSearch","4733 Hazel StClosed",""
"The Max Realty & Management","","604-227-3399","https://themaxrealty.com/","4300 N Fraser WyClosed",""
"Greater Vancouver Tenant & Property Management Ltd.","clients@gvantpm.com","(604) 398-4047","https://www.gvantpm.com/","2025 Willingdon Ave #900Closed",""
"Westwynd Realty","inquiries@westwyndrealty.com","(604) 944-8917","http://www.westwyndrealty.com/","3292 Production Way #501Closed",""
"Transpacific Realty Advisors","service@transpacificrealty.com","604 873 8591","https://www.transpacificrealty.com/?utm_source=GMBlistings&utm_medium=organic&utm_campaign=websitelink","4300 N Fraser Wy #203Closed",""
"Eco-World","service@eco-world.com","+1 (604) 438-0020","http://www.eco-world.com/","4211 Kingsway #220Closed",""
"Raymond Dich - Burnaby Realtor","info@raydich.com","604-803-8988","http://www.raydich.com/","4900 Lennox Ln #3808Open 24 hours",""
"The Park Metrotown","","","","4900 Lennox LnDirections",""
"Calmora Property Management","info@calmoraproperties.com","1784820527956","https://www.calmoraproperties.com/","438 Gamma Ave Apt. 201Closed",""
"Montecito Towers","","","","7376 Halifax St #7360Closed",""
"Ascent Real Estate Management","ascent@ascentpm.com","1785161647784","http://www.ascentpm.com/","2176 Willingdon AveClosed",""
"Strataco Management Ltd","managers@stratacomgmt.com","(604) 294-4141","http://strataco.ca/","4126 Norland Ave #101Closed",""
"Assertive Northwest","","1998-2023","https://assertivenorthwest.com/","3847A Hastings StClosed",""
"Dwell Property Management","","","","4311 Viking WayClosed",""
"Strata Property Agents of British Columbia","info@spabc.org","604-618-9497","https://spabc.org/","3847B E Hastings St+1 604-618-9497WebsiteDirections",""
"88West Realty","","","","88West RealtySponsored88West Realty  4.9(235)Estate Agent",""
"Robert Almeida - Top Burnaby Realtor® Vancouver, New Westminster","robert@homesforbc.ca","604-862-8000","http://www.homesforbc.ca/","5050 Kingsway #1Open 24 hours",""
"Team Vince Chan Real Estate - Burnaby Realtor","info@teamvincechan.com","604-813-8618","http://teamvincechan.com/","5050 Kingsway #1Closed",""
"Josh Wong Personal Real Estate Corporation","hello@joshwongrealtor.com","778 288 8404","http://joshwongrealtor.com/","5050 KingswayClosed",""
"Doris Gee & Phil Moore Real Estate Team","doris@dorisgee.com","604-250-0177","http://dorisgee.com/","5050 Kingsway #1Open 24 hours",""
"RE/MAX Crest Realty - Burnaby","","1667202906580","http://www.remaxcrest.ca/","5050 Kingsway #1Closed",""
"Macdonald Realty Burnaby","macrealty@macrealty.com","0 1024 1024","https://www.macrealty.com/","5501 Kingsway #201Closed",""
"Dylan Moore Real Estate Agent","","","","5050 KingswayOpen 24 hours",""
"Park Real Estate Associates Inc","","","https://www.parkrealestate.ca/","4700 Kingsway #1143Closed",""
"MYLEN ALMENDAREZ REAL ESTATE","mylen@mylenrealty.com","778-994-6884","http://mylenalmendarez.com/","5489 Kingsway+1 778-994-6884WebsiteDirections  ""She made our home buying journey less stressful and smooth sailing.""",""
"Cindy Zhang Personal Real Estate Corporation","","778-995-4318","http://cindyzhangteam.com/","5050 Kingsway #1+1 778-999-7899WebsiteDirections",""
"Nu Stream Realty Inc","","1586770133","https://nustreamrealty.ca/","4555 Kingsway #100Closed",""
"Metrotown Real Estate","","778-862-8321","http://www.metrotownrealestate.ca/","5050 Kingsway #1Closed",""
"Selmak Realty Ltd.","info@selmakrealty.com","604-456-0873","https://selmakrealty.ca/contact.html","6700 Dunblane Ave+1 604-456-0873WebsiteDirections","Selmak Realty at 6700 Dunblane Ave - 604-456-0873"
"Angie Zhang Team","","1000000 1000000","https://bchomehub.com/","",""
"TIM LU PERSONAL REAL ESTATE CORPORATION","","","","5050 Kingsway #1Closed",""
"Tracy Niu","tracyniuteam@gmail.com","604-319-9922","https://tracyniu.com/","4555 Kingsway #100+1 604-319-9922WebsiteDirections  ""Tracy is very professional, trustworthy and reliable""",""
