business_name,email,phone,website,address,city,rating,category,proximity_notes,comments
Axford Real Estate,admin@axfordrealestate.ca,778.355.0116,https://www.axfordrealestate.ca/,2326 Clarke StreetOpen,Vancouver,4.6,,NEARBY,Phone: ✓
Champlain Square,,,http://champlainsquare.com/,7132 Kerr StOpen,Vancouver,4.2,,NEARBY,Phone: 
Pacific West,alex@pacificwestpm.ca,(778) 867-0482,http://www.pacificwestpm.ca/,421 Pacific StClosed,Vancouver,4.8,,NEARBY,Phone: ✓
Champlain Notary Public,info@champlainnotary.com,1785153297978,http://www.champlainnotary.com/,7126 Kerr StClosed,Vancouver,4.9,,NEARBY,Phone: ✓
Team Kerr | Stilhavn Real Estate Services,info@teamkerr.ca,604-880-4588,https://www.teamkerr.ca/,36 E 5th AveOpen,Vancouver,4.9,,NEARBY,Phone: ✓
HostGenius Vancouver Property Management,support@hostgenius.ca,+1 (604) 398-5232,https://www.hostgenius.ca/,318 Homer St Unit 501Open 24 hours,Vancouver,4.2,,NEARBY,Phone: ✓
Rancho Management Services (B.C.) Ltd.,pmgr@ranchogroup.com,(604) 684-4508,http://www.ranchovan.com/,1125 Howe St 8th FloorClosed,Vancouver,3.6,,NEARBY,Phone: ✓
J.M. Property Management Ltd.,,,,1010 Howe StClosed,Vancouver,4.8,,NEARBY,Phone: 
Bolld Real Estate Management,info@bolld.ca,8552668588,https://bolldpm.com/,2123 Granville St BOpen,Vancouver,4.1,,NEARBY,Phone: ✓
Austeville Properties Ltd.,,604.216.5500,http://www.austeville.com/,1645 W 7th AveClosed,Vancouver,4.3,,NEARBY,Phone: ✓
Birds Nest Properties,info@birdsnestproperties.ca,(604) 260-9955,https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb,2208A Spruce StClosed,Vancouver,4.7,,NEARBY,Phone: ✓
Korecki Real Estate Services Inc.,info@korecki.ca,(604) 233-7772,http://www.korecki.ca/,1166 Alberni St #605Closed,Vancouver,4.3,,NEARBY,Phone: ✓
Hollyburn Properties Limited,,(999) 999-9999,https://www.hollyburn.com/?utm_source=google-my-business&utm_medium=organic,1155 W Pender St #203Closed,Vancouver,4.1,,NEARBY,Phone: ✓
Tribe Management Inc,,1776993161532,https://www.tribemgmt.com/,1166 Alberni St #1606Closed,Vancouver,2.3,,NEARBY,Phone: ✓
Martello Property Services Inc,,604.681.6544,http://www.martello.group/,808 W Hastings St Suite 920Closed,Vancouver,2.7,,NEARBY,Phone: ✓
Vancouver Rent It,peter@vancouverrentit.com,(604) 388-7368,http://www.vancouverrentit.com/,,Vancouver,4.5,,NEARBY,Phone: ✓
FirstService Residential Vancouver,,(855) 683-8900,https://www.fsresidential.com/british-columbia/offices/vancouver-bc,200 Granville St #700Closed,Vancouver,4.1,,NEARBY,Phone: ✓
Bodewell,info@bodewell.ca,(604) 633-5511,http://bodewell.ca/,,Vancouver,4.6,,NEARBY,Phone: ✓
Vancouver Apartment Rentals,,,https://vancouverforliving.com/furnished/vancouver-apartments/,928 Beatty StOpen,Vancouver,4.8,,NEARBY,Phone: 
Hope Street Management Corp.,,1785373020,https://hopestreet.ca/,1055 W Hastings St #300Closed,Vancouver,4.4,,NEARBY,Phone: ✓
