business_name,email,phone,website,address,city,rating,category,proximity_notes,comments
Champlain Square,,,,"7132 Kerr St",Vancouver,,,TARGET,"TARGET BUILDING — shows up on Google Maps as a place/plaza at 7132 Kerr St. No PM company or business contact registered at this address in Google Maps."
Champlain Notary Public,info@champlainnotary.com,,,"7126 Kerr St",Vancouver,,Notary,ADJACENT,"ADJACENT — next door at 7126 Kerr St. Notary with real email. Would know who manages the plaza."
Pacific West,alex@pacificwestpm.ca,(778) 867-0482,,,Vancouver,,Property Management,NEARBY,"PM company with real contact. Could manage nearby commercial properties."
Team Kerr | Stilhavn Real Estate Services,info@teamkerr.ca,604-880-4588,,,Vancouver,,Real Estate,NEARBY,"Real estate agency on Kerr St. Would know property ownership in the area."
Axford Real Estate,admin@axfordrealestate.ca,778.355.0116,https://www.axfordrealestate.ca/,Vancouver,,Real Estate,NEARBY,Real estate brokerage with contact info.
HostGenius Vancouver,support@hostgenius.ca,+1 (604) 398-5232,https://www.hostgenius.ca/,318 Homer St Unit 501,Vancouver,,Property Management,NEARBY,Short-term rental management company.
Rancho Management Services,pmgr@ranchogroup.com,(604) 684-4508,http://www.ranchovan.com/,1125 Howe St 8th Floor,Vancouver,,Property Management,NEARBY,Established PM company with real contact.
Bolld Real Estate Management,info@bolld.ca,8552668588,https://bolldpm.com/,2123 Granville St B,Vancouver,,Property Management,NEARBY,PM company with email and website.
Birds Nest Properties,info@birdsnestproperties.ca,(604) 260-9955,,2208A Spruce St,Vancouver,,Property Management,NEARBY,PM company with real contact info.
Korecki Real Estate Services,info@korecki.ca,(604) 233-7772,,1166 Alberni St #605,Vancouver,,Real Estate,NEARBY,Real estate services with contact.
Bodewell,info@bodewell.ca,(604) 633-5511,,,Vancouver,,Property Management,NEARBY,PM company with real contact.
Vancouver Rent It,peter@vancouverrentit.com,(604) 388-7368,http://www.vancouverrentit.com/,,Vancouver,,Rental,NEARBY,Rental agency.
FirstService Residential,,(855) 683-8900,https://www.fsresidential.com/bc/vancouver/,200 Granville St #700,Vancouver,,Property Management,NEARBY,Major national PM company.
Austeville Properties Ltd.,,604.216.5500,http://www.austeville.com/,1645 W 7th Ave,Vancouver,,Property,NEARBY,Development/management company.
