business_name,email,phone,website,address,proximity,web_research,comments
T&T Supermarket First Avenue Store,,551060.1785,https://www.tntsupermarket.com/,2800 E 1st Ave #100Open,TENANT IN BUILDING,Searching for management info...,"ANCHOR TENANT - T&T Supermarket at 2800 E 1st Ave #100. They lease space here, they do not manage the building. Contact T&T corporate for leasing referrals."
Be Fresh Local Market,hello@befresh.ca,1.00000000000000008,http://www.befresh.ca/,1900 W 1st AveGrocery store & cafe with gourmet eatsOpen,,,
First Avenue Marketplace,,,,2800 E 1st AveOpen,TARGET,Could not verify management company via web search (blocked). Contact City of Vancouver commercial property records or BC Assessment for owner info.,TARGET BUILDING - First Avenue Marketplace at 2800 E 1st Ave. The retail hub itself. No email/phone/web on Google Maps. Building name suggests a retail plaza with T&T as anchor tenant.
NB Nanaimo St @ E 1st Ave,parkingtax@translink.ca,6049533333,https://www.translink.ca/,,,,
Renzullo Food Market,conjob@renzullofoodmarket.com,604 255 9655,http://renzullofoodmarket.com/,1370 Nanaimo StOpen,,,
Southbound Nanaimo St @ E 1st Ave,parkingtax@translink.ca,6049533333,https://www.translink.ca/,,,,
Lucky Mart,,,,2262 Nanaimo StOpen,,,
Viti Wine and Lager (Broadway),,,,2410 Nanaimo StOpen,,,
Fresh St. Market - Vancouver House,,,,1423 Continental StOpen,,,
City Avenue Market,,,,2279 Commercial DrOpen,,,
T&T Supermarket Chinatown Store,,,,,TENANT IN BUILDING,T&T Supermarket chain - corporate managed,"ANCHOR TENANT - T&T Supermarket at 2800 E 1st Ave #100. They lease space here, they do not manage the building. Contact T&T corporate for leasing referrals."
My Frosty Dessert Cafe,,,,2800 E 1st Ave #220Open,TENANT IN BUILDING,Searching for management info...,TENANT - Dessert cafe at 2800 E 1st Ave #220. Not the building manager.
Andrew Sheret Limited,,,,3625 E 1st AveCloses soon,,,
Columbus Meat Market,,,,1310 Nanaimo StOpen,,,
Oh Sweet Day! Bake Shop (Vancouver),,,,1706 E 1st AveOpen,,,
T&T Supermarket Kingsway Store,,,,2206 KingswayOpen,TENANT IN BUILDING,T&T Supermarket chain - corporate managed,"ANCHOR TENANT - T&T Supermarket at 2800 E 1st Ave #100. They lease space here, they do not manage the building. Contact T&T corporate for leasing referrals."
IGA,,,,3515 W 4th AveOpen,,,
To Live For Bakery & Cafe,,,,1508 Nanaimo StCloses soon,,,
Song Huong Restaurant,,,,1613 Nanaimo StVietnamese food in casual surroundingsOpen,,,
